La première fois,البريمير فوا
honnêteté,هونستي
voyage,كتغادي
avec,مع
Ghadi,غادّي
Marrakech,لمراكش
Viva,فيفا
khwa,خويا
lah,الله
i3awonik,يعاونك
o,و
tari9,طريق
salma,سالمة
Lah,الله
m3ak,معاك
7awl,حاول
akhouya,خويا
Hhhh,ههه
drari,دراري
matqlqoch,ما تقلقوش
rah,راه
ghi,غير
talqinha,طلقينها
kain,كاين
likai3air,لي كايعير
om3asb,ومعصب
fhala,فحالا
habsino,حابسّينو
ikhorj,يخرج
hadchi,هادشي
likatsm3o,لي كاتسمعو
mamnoch,ممنوع
Nariiiii,ناريييي
wach,واش
kayn,كاين
bo3o,بوعو
hhhhhhh,هههههه
Hhh,ههه
h1,واحد
wa7ed,واحد
benj,بنج
Li,لي
mafhmch,ما فهمش
z3ma,زعما
hlef,حلف
thnet,تهنت
kaysom,كايسوم
3j,على شي
het,حيت
blah,بالله
machi,ماشي
whda,وحدة
tmnah,ثمنها
hhhhh,ههههه
Khoya,خويا
l3ziz,العزيز
dima,ديما
Wax,واش
ntoma,نتوما
khot,خوت
ola,ولا
Ch7al,شحال
had,هاد
La,لا
li,لي
kaygolk,كايكولك
we,و
tenere,تينيري
t9al,ثقال
chof,شوف
bnadm,بنادم
ka,كاتشوف
tchof,معاهم
m3ahom,الرعب
ro3b,الرعب
hhh,هعه
Ou,أو
cfmoto,سيفموتو
mt,و خمسين
dyal,ديال
voge,فوج
Si,سي
normal,نورمال
mli,ملي
kat3ammar,كاتعمر
motor,الموتور
katgrati,كاتكراتي
vitesse,الفيتيس
kaydir,كيدير
dak,داك
sout,الصوت
Had,هاد
sot,الصوت
kay3ach9oh,كايعشقوه
ghir,غير
hrayfia,حرايفيا
Ana,أنا
ra,راه
eandi,عندي
gha,غير
cimatti,صيماتي
mt05,مت خمسة
makin,ما كاين
tfargi3,تفركيع
Tagiw,طاكيو
madam,مدام
elbakkali,البقالي
tchof,تشوف
hadi,هادي
hia,هيا
mha,مها
Kon,كون
mChiTo,مشيتو
so9,سوق
bansoda,بانصودة
9alt,قالت
lih,ليه
3ndak,عندك
tchod,تشد
diya,ديال
lor,اللور
Slm,سلام
khouya,خويا
walid,وليد
allahe,الله
