input_text,target_text
La première fois que l'honnêteté voyage avec Ghadi à Marrakech,لا البريمير فوا كاين هونستة تغادي لمرّاكش
Viva khwa lah i3awonik o tari9 salma,فيفا خو له يعاونك وطريق سلمة
Lah m3ak 7awl akhouya,الله معاك حاول خويا
Hhhh drari matqlqoch rah ghi talqinha kain likai3air om3asb fhala habsino ikhorj rah hadchi likatsm3o mamnoch,هههه دراري متقلقوش راه غير تلقينها كاين ليكاعير ومحاسب فهلا حبسّينو يخرج راه هادشي ليكاتسمعو ممنوع
Nariiiii wach kayn bo3o hhhhhhh,ناريييي واش كاين بو3و ههههههه
Hhh h1 wa7ed benj,هههه واحد بنج
Li mafhmch z3ma rah hlef w thnet w kaysom 3j het hlef blah w machi 1000 whda tmnah hhhhh,لي ما فهمش زعما راه حلف وتنت و كايسوم عج حلف بلا و ماشي 1000 وحدة تمنها ههههه
Khoya l3ziz dima kayn,خويا العزيز ديما كاين
Wax ntoma khot ola,واش نتوما خوت ولا
Ch7al had l piscine !?,شحال هاد البسين !؟
La li kaygolk gs we tenere t9al chof bnadm ka tchof m3ahom ro3b hhh,لا لي كايكولك جس و تينير ت9ال شوف بنادم كايتشوف معاهم روعب ههه
Ou cfmoto 450 mt 800 dyal voge,أو سيفموتو 450 مت 800 ديال فوج
Si normal mli kat3ammar motor ou katgrati vitesse kaydir dak sout,سي نورمال ملي كاتعمر موتور و كاتكراتي فيتيس كيدير داك الصوت
Had sot kay3ach9oh ghir hrayfia,هاد الصوت كايعشقوه غير حرايفيا
Ana ra eandi gha cimatti mt05 makin gha tfargi3,أنا را عندي غا صيماتي مت05 ماكين غا تفرجي3
Tagiw madam elbakkali tchof hadi hia w mha,تاجيو madam البقالي تشوف هادي هيا و مها
Kon mChiTo so9 bansoda,كون مشيتو سوق بانصودة
9alt lih 3ndak tchod diya lor,قلت ليه عندك تشود ديا لور
Slm khouya walid 0656608916 allahe ikbre bik bekhit nehdre me3k,سلم خويا وليد 0656608916 الله يكبر بيك بخيت نهدرو معك
Fobya dyal bne nseer dart khdemtha,فوبيا ديال بن نصير درت خدمتها
nadi akhoya rir lblya b3d mnha lah ishl 3lik,ناضي أخويا رير البلية بعد منها الله يشل عليك
Hna mn 2003 lhih kyjini bhl ila m3xnax g3,حنا من 2003 لهيه كيجيني بهل إلا معخناش كع 3
Hiya ana cherft hhhhhhhh ana 1992,هيا أنا شرفت ههههههه أنا 1992
3lach kathwa,علاش كتحوا
Dalta ma hum da akhtar munz kare deer zyat halak we,دلتا ما هم دا أختار مونز كاريه دير زيت حلاك و
3lax a5oya mili katkon m3a s7abk katd7ak ou m3a 5ok m3asb,علاش أ خويا ملي كاتكون مع صحابك كاتضحك و مع خوك محاسب
Jaybin mklkh b7al lmoutchou okaysnaw l7l9a tnjh,جايين مكلخ ب7ال لموتشو أوكايصناو ل7ل9ة تنجح
Rmook 3aref tri9o om3alem .professionel.mochkil f les voiture des particuliers.,رموك عارف طريقو ومعلم .بروفيسيونيل.مشكل ف لسيور ديال البارتيكوليي
Wch katfra9 bin niveau ou temperature,واش كاتفرق بين نيفو و تيمبيراتور
zite a khouya ma aytle3ch l aspirateur ?,زيت أ خويا ما أيتطلعش لأسبراتور ؟
Makanmchich lmrjan y3ni nhar nchofk an9m3k,ماكانمشي للمرجان يعني نهار نشوفك أنقمك
Hiya ah wlk bch lkaki takhdo b 9dh 10dh o tbi3o b 28dh 30dh c pas logique,هيا اه ولك بصل الكاكي تاخدو ب 9د 10د و تبيعو ب 28د 30د سي باش لوجيك
Amin ana f lalaman,أمين أنا ف لعالام
3lach kayd7k bzez wach hadak gal chu haja kad7k wla ana mrid,علاش كيدحك بزيز واش هاداك قال شي حاجة كيدحك ولا أنا مريض
hwa li dar chi sbla Bach hya dart haka,هوا لي دار شي سبلا باش هيا دارت هكا
Ahsen meroki fl l3alam tahya,أحسن مروكي فل لعالم تحيا
Ah ana kan3rf oujda,أح أنا كانعرف وجدة
9an3ihom akhti ana ma3endiiich jehd,قنعهم أختي أنا معنديش جهد
khliw koora lwste ou ayrj3ou bjouj yn3sou loure,خليو كورة لوست و أرجعو بجوج ينعسو لور
Imta lmatch be3da,امتا لماتش بعدا
nika7 lbassari,نيكا7 لبصاري
M3rfatchi regragi fra3 luis enrique,معرفتشي ريغراغي فراع لويس إنريك
5as mn daba nl9aw hl ldifa3 Hit ila mchi basis yamik farah s3ib Hit chrfo wradi yzido ychrfo had 7 chhour hhh,خص من دابا نلقاو حل لدفاع حيت إلا ماشي بيس ياميك فرح صعيب حيت شرفو ورادي يزيدو يشرفو هاد 7 شهور ههه
kora ghdi tb9a f centre mghdich tl3eb hhhhh,كورة غدي تبقا ف السنطر مغديش تلعب ههههه
3rafti 3lach radi tabda tasma3 chi r9am khayaliya 1000 hp rada twali bhal 200hp daba,عرفتي علاش رادي تبدا تسما3 شي رقم خيالي 1000 hp رادا توالي بحال 200hp دابا
La passion Klma mayfhmha ghir li 3aychha,لا باسيون كلما مايفهمها غير لي عايشها
La passion kAlma ma mayfhmha ghyr li 3aychha ultras per la vita,لا باسيون كلما مايفهمها غير لي عايشها أولتراس بير لا فيتا
dakchi 3lach l3aba d barca makaytsaboch f ligament,داكشي علاش لعادة د بارصا ماكاتصابوش ف ليغ
Awdi lah inajik man wahad no3 taikon kabar m3a la3yalate walh ima ihayad Lik taikon masmom okanin wld lablad taidrab 3lik gir FAL mraya tai3tik tri9,أوودي الله يناجيك من واحد نوع تايكون كبار مع العايلة والله إما يحاد ليك تايكون مسوم وكانين ولد لبلاد تايدراب عليك غير فال مرايا تا يعطيك طريق
3ajbtni hulix,عجبني هوليكس
RE DA hna,ري دا هنا
