input_text,target_text
"La première fois que l'honnêteté voyage avec Ghadi à Marrakech","البريمير فوا لي هونستي كتغادي مع غادّي لمراكش"
"Viva khwa lah i3awonik o tari9 salma","فيفا خويا الله يعاونك و طريق سالمة"
"Lah m3ak 7awl akhouya","الله معاك حاول خويا"
"Hhhh drari matqlqoch rah ghi talqinha kain likai3air om3asb fhala habsino ikhorj rah hadchi likatsm3o mamnoch","ههه دراري ما تقلقوش راه غير طلقينها، كاين لي كايعير و معصب فحالا حابسّينو يخرج، راه هادشي لي كاتسمعو ممنوع"
"Nariiiii wach kayn bo3o hhhhhhh","ناريييي واش كاين بوعو ههههههه"
"Hhh h1 wa7ed benj","ههه واحد بنج"
"Li mafhmch z3ma rah hlef w thnet w kaysom 3j het hlef blah w machi 1000 whda tmnah hhhhh","لي ما فهمش زعما راه حلف و تهنت و كايسوم على شي حيت حلف بالله و ماشي ألف وحدة ثمنها ههههه"
"Khoya l3ziz dima kayn","خويا العزيز ديما كاين"
"Wax ntoma khot ola","واش نتوما خوت ولا"
"Ch7al had l piscine !?","شحال هاد البسين !؟"
"La li kaygolk gs we tenere t9al chof bnadm ka tchof m3ahom ro3b hhh","لا لي كايكولك جي إس و تينيري ثقال، شوف بنادم كاتشوف معاهم الرعب ههه"
"Ou cfmoto 450 mt 800 dyal voge","أو سيفموتو ربعمية و خمسين مت تمنمية ديال فوج"
"Si normal mli kat3ammar motor ou katgrati vitesse kaydir dak sout","سي نورمال ملي كاتعمر الموتور و كاتكراتي الفيتيس كيدير داك الصوت"
"Had sot kay3ach9oh ghir hrayfia","هاد الصوت كايعشقوه غير حرايفيا"
"Ana ra eandi gha cimatti mt05 makin gha tfargi3","أنا راه عندي غير صيماتي مت خمسة، ما كاين غير تفركيع"
"Tagiw madam elbakkali tchof hadi hia w mha","طاكيو مدام البقالي تشوف هادي هيا و مها"
"Kon mChiTo so9 bansoda","كون مشيتو سوق بانصودة"
"9alt lih 3ndak tchod diya lor","قالت ليه عندك تشد ديال اللور"
"Slm khouya walid 0656608916 allahe ikbre bik bekhit nehdre me3k","سلام خويا وليد صفر ستة خمسة ستة ستة صفر تمنية تسعود واحد ستة الله يكبر بيك بغيت نهضر معاك"
"Fobya dyal bne nseer dart khdemtha","فوبيا ديال بن نصير دارت خدمتها"
"nadi akhoya rir lblya b3d mnha lah ishl 3lik","ناضي أخويا غير البلية بعد منها الله يسهل عليك"
"Hna mn 2003 lhih kyjini bhl ila m3xnax g3","حنا من ألفين وثلاثة لهيه كيجيني بحال إلا معشناش كاع"
"Hiya ana cherft hhhhhhhh ana 1992","هيا أنا شرفت ههههههه أنا ألف وتسعمية واثنين وتسعين"
"3lach kathwa","علاش كتحوا"
"3lax a5oya mili katkon m3a s7abk katd7ak ou m3a 5ok m3asb","علاش أ خويا ملي كاتكون مع صحابك كاتضحك أو مع خوك معصب"
"Jaybin mklkh b7al lmoutchou okaysnaw l7l9a tnjh","جايين مكلخ بحال الموتشو أو كايتسناو الحلقة تنجح"
"Rmook 3aref tri9o om3alem .professionel.mochkil f les voiture des particuliers.","رموك عارف طريقو ومعلم. بروفيسيونيل. مشكل ف لي فواتير ديال البارتيكوليي."
"Wch katfra9 bin niveau ou temperature","واش كاتفرق بين نيفو و تيمبيراتور"
"zite a khouya ma aytle3ch l aspirateur ?","زيت أ خويا ما كيطلعش لأسبراتور؟"
"Makanmchich lmrjan y3ni nhar nchofk an9m3k","ما كانمشييش للمرجان يعني نهار نشوفك أنقمك"
"Hiya ah wlk bch lkaki takhdo b 9dh 10dh o tbi3o b 28dh 30dh c pas logique","هيا أه ولكن باش الكاكي تاخدو بتسعود دراهم وعشرة دراهم وتبيعو بثمانية وعشرين درهم وثلاثين درهم سي با لوجيك"
"Amin ana f lalaman","أمين أنا ف العالم"
"3lach kayd7k bzez wach hadak gal chu haja kad7k wla ana mrid","علاش كيدحك بزز واش هاداك قال شي حاجة كضحك ولا أنا مريض"
"hwa li dar chi sbla Bach hya dart haka","هوا اللي دار شي سبْلة باش هيا دارت هكا"
"Ahsen meroki fl l3alam tahya","أحسن مروكي ف العالم تحية"
"Ah ana kan3rf oujda","أه أنا كانعرف وجدة"
"9an3ihom akhti ana ma3endiiich jehd","قنعيهم أختي أنا ما عنديش جهد"
"khliw koora lwste ou ayrj3ou bjouj yn3sou loure","خليو الكورة فالوسط ويرجعو بجوج ينعسو اللور"
"Imta lmatch be3da","امتا الماتش بعدا؟"
"nika7 lbassari","نكاح البصري"
"M3rfatchi regragi fra3 luis enrique","معرفاتشي ريغراغي فراع لويس إنريك"
"5as mn daba nl9aw hl ldifa3 Hit ila mchi basis yamik farah s3ib Hit chrfo wradi yzido ychrfo had 7 chhour hhh","خاص من دابا نلقاو حل للدفاع حيت إلا ماشي باصيص ياميك فرح صعيب حيت شرفو ورادي يزيدو يشرفو هاد سبعة شهور ههه"
"kora ghdi tb9a f centre mghdich tl3eb hhhhh","كورة غدي تبقى فالسنطر ماغديش تلعب ههههه"
"3rafti 3lach radi tabda tasma3 chi r9am khayaliya 1000 hp rada twali bhal 200hp daba","عرفتي علاش غادي تبدا تسمع شي رقم خيالي ألف إتش بي غادي تولي بحال ميتين إتش بي دابا"
"La passion Klma mayfhmha ghir li 3aychha","لا باسيون كلمة مايفهمها غير لي عايشها"
"La passion kAlma ma mayfhmha ghyr li 3aychha ultras per la vita","لا باسيون كلمة ما يفهمها غير لي عايشها أولتراس بير لا فيتا"
"dakchi 3lach l3aba d barca makaytsaboch f ligament","داكشي علاش اللعابة د بارصا ماكايتصابوش ف ليغامون"
"Awdi lah inajik man wahad no3 taikon kabar m3a la3yalate walh ima ihayad Lik taikon masmom okanin wld lablad taidrab 3lik gir FAL mraya tai3tik tri9","أودي الله ينجيك من واحد النوع تيكون كبر مع العيالات والله إما يحيد ليك تيكون مسموم وكاينين ولد لبلاد تايضرب عليك غير فالمرايا تايعطيك طريق"
"3ajbtni hulix","عجبتني هوليكس"
"RE DA hna","ري دا هنا"
"3awtani ghadi yjiw 3andk nta mdouble man liman w kda hhhhhh bnadam gha sama3 b tri9 w sfi","عاوتاني غادي يجيو عندك نتا مدوبل من اليمين وكدا هههههه بنادم غا سامع بالطريق وصافي"
